trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-56.5366485247927,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,0,-60.703583860364006,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,10,-86.32977251552498,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-31.675814173365513,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-12.515171284732805,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,5,-30.31253350265613,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,1,-30.498238318485807,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,5,15.32963428869618,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,0,-13.724573601295246,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,13,10.671600692084574,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,4,-11.901266411019199,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,20,5.590554583815164,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",30,23,-8.367082867333318,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",35,19,-11.715161252929768,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",30,21,-6.378936637908699,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,6,-18.74842604644866,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,16,5.816952992534463,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
